id,group_pref,member_count,group_order_1,group_order_2,group_order_3,group_order_4,group_order_5,group_order_6,result
cfcde366-fd21-4638-9400-40433d264602,"6,1,3,5,7,4",2,6,1,3,5,7,4,7
ec3766c1-b3ee-4873-9048-b7f7fa17ceba,"6,1,3,5,7,4",2,6,1,3,5,7,4,6
738b973c-4cbf-4125-b50e-bcc98f89f77a,"6,1,3,7,4,5",2,6,1,3,7,4,5,6
a394c8ef-98d7-49b5-beb3-652b08cd6482,"4,3,6,7,1,5",1,4,3,6,7,1,5,4
3620b751-1dcc-4305-8871-b897947ba300,"3,4,7,1,6,5",1,3,4,7,1,6,5,3
5602bd74-811a-4e99-9708-179254d9f090,"3,6,7,1,4,5",2,3,6,7,1,4,5,3
d8f47c49-b610-45ce-9425-ea51c623d061,"7,4,6,3,1,5",3,7,4,6,3,1,5,7
3b8eb084-1796-4a84-a9d7-fa58c39f0bff,"3,1,4,6,5,7",3,3,1,4,6,5,7,3
ff3810e2-000d-4253-8d1e-3ad7dfc805e7,"3,6,7,1,4,5",3,3,6,7,1,4,5,3
6038bd6d-f083-400b-b63a-5feae34edbd3,"7,1,5,3,4,6",1,7,1,5,3,4,6,7
53a26a95-c195-423e-82f0-c20b272156f0,"6,3,4,1,5,7",1,6,3,4,1,5,7,6
f9d30c30-90c7-429c-9e78-b50ac1bfad65,"4,3,6,7,5,1",1,4,3,6,7,5,1,5
d6381cb3-8a50-4916-a9fe-6d03c31c11c4,"6,7,1,3,4,5",2,6,7,1,3,4,5,1
fac70148-230a-4908-9e59-bb3cbac99479,"4,6,7,5,3,1",2,4,6,7,5,3,1,4
025c18bc-9e5c-48d8-b988-55d02fc240df,"6,5,7,3,4,1",1,6,5,7,3,4,1,5
147d35dc-f695-425d-bf8e-a61b3903d14b,"6,5,3,1,7,4",1,6,5,3,1,7,4,6
e8ddcc83-38e7-4243-850b-97372cd0d31a,"4,3,1,6,5,7",1,4,3,1,6,5,7,4
b32e3009-f7d5-454a-8137-9af13b18c701,"3,6,7,1,4,5",2,3,6,7,1,4,5,3
00002928-50a2-49dc-bfd7-65bb78b234d6,"3,4,7,1,6,5",1,3,4,7,1,6,5,1
2c11a4d6-837a-4da9-8cb8-b02a5782f4f2,"6,7,1,3,5,4",1,6,7,1,3,5,4,6
c17c307d-7f4e-49be-9f86-91421ee011e7,"3,7,6,4,1,5",3,3,7,6,4,1,5,3
d8e04136-44dc-48a3-ad3f-0f1bbee1db51,"7,4,6,5,1,3",1,7,4,6,5,1,3,7
f4100eed-5923-4e3c-ae1c-45b055471dd6,"3,6,4,1,5,7",1,3,6,4,1,5,7,3
d06d1f34-760f-44d7-968d-a910e755c497,"4,1,3,5,6,7",1,4,1,3,5,6,7,4
8aad8d0d-0c34-4b16-b4d9-56d1802a5005,"7,4,6,3,5,1",3,7,4,6,3,5,1,7
0cfcf11b-22d5-4120-85ab-1ca19657da80,"6,3,7,1,5,4",1,6,3,7,1,5,4,1
f62ece69-9f55-4dcd-8a28-ac18f043614e,"6,3,1,4,7,5",1,6,3,1,4,7,5,6
186b25da-ff0d-4dde-b534-357070d412ea,"6,4,3,1,5,7",3,6,4,3,1,5,7,1
eaf03c8d-457f-4f99-b7e5-48fb74693cce,"3,7,1,4,6,5",1,3,7,1,4,6,5,3
038a6ae7-b2ea-4978-bbe5-5d2982bc4bb6,"3,7,6,4,1,5",3,3,7,6,4,1,5,3
608bd564-2661-4243-866b-ec040c81fea5,"3,4,1,6,7,5",2,3,4,1,6,7,5,3
9ad8c808-851f-415d-9ba4-faaed8aaf9a0,"1,7,6,4,5,3",1,1,7,6,4,5,3,1
6fc714cd-796d-4134-a00a-6383ff740829,"3,7,6,4,1,5",2,3,7,6,4,1,5,5
c3583710-653b-46db-b982-1e28da919d11,"6,7,3,5,1,4",3,6,7,3,5,1,4,6
0e19f9ae-58c4-4794-abe6-df047b662d4f,"7,4,6,3,5,1",3,7,4,6,3,5,1,7
7dae2719-2d5e-40aa-88c2-0ee3c7f749aa,"6,3,7,1,4,5",1,6,3,7,1,4,5,1
4488e035-4a8b-46ce-8b62-c590716e0029,"3,7,6,4,1,5",3,3,7,6,4,1,5,3
8b667f8c-9f59-4b5e-8d2c-ed54e17a9864,"1,5,6,3,7,4",1,1,5,6,3,7,4,1
39070c45-8280-4337-aead-a7f0d02605ed,"1,3,7,4,6,5",1,1,3,7,4,6,5,1
829ce934-5db9-4b8b-9565-3c3160b0349c,"7,3,6,1,5,4",3,7,3,6,1,5,4,7
f5416098-74f7-4b81-86d5-2c584da2a44b,"3,6,1,7,4,5",2,3,6,1,7,4,5,1
44dfbebd-40f5-40b6-a4d7-da179277646d,"4,1,7,5,3,6",1,4,1,7,5,3,6,4
995e59ca-a513-411f-b524-a9360d30a7df,"3,6,7,4,5,1",1,3,6,7,4,5,1,3
69ddc959-70bc-47f9-ac2c-75f2815a3835,"7,6,1,4,3,5",2,7,6,1,4,3,5,7
8c533389-5f96-496d-8dad-8f1eee128ca8,"7,4,6,3,5,1",1,7,4,6,3,5,1,7
bc4e737c-cbd5-4316-9cb9-bd0dc299ea7e,"6,7,1,3,4,5",3,6,7,1,3,4,5,6
